date,station_id,time,wind speed
20190119,488200,06:00am,2
20190119,488200,07:00am,0
20190119,488200,08:00am,6
20190119,488200,09:00am,4
20190119,488200,10:00am,4
20190119,488200,11:00am,6
20190119,488200,12:00pm,6
20190119,488200,01:00pm,4
20190119,488200,02:00pm,6
20190119,488200,03:00pm,4
20190119,488200,04:00pm,4
20190119,488200,05:00pm,6
20190119,488200,06:00pm,4
20190119,488200,07:00pm,4
20190119,488200,08:00pm,6
20190119,488200,09:00pm,4
20190119,488200,10:00pm,6
20190119,488200,11:00pm,0
20190120,488200,12:00am,2
20190120,488200,01:00am,17
20190120,488200,02:00am,15
20190120,488200,03:00am,17
20190120,488200,04:00am,17
20190120,488200,05:00am,20
20190120,488200,06:00am,20
20190120,488200,07:00am,4
20190120,488200,08:00am,4
20190120,488200,09:00am,6
20190120,488200,10:00am,6
20190120,488200,11:00am,6
20190120,488200,12:00pm,9
20190120,488200,01:00pm,9
20190120,488200,02:00pm,7
20190120,488200,03:00pm,7
20190120,488200,04:00pm,7
20190120,488200,05:00pm,6
20190120,488200,06:00pm,7
20190120,488200,07:00pm,7
20190120,488200,08:00pm,2
20190120,488200,09:00pm,4
20190120,488200,10:00pm,9
20190120,488200,11:00pm,4
20190121,488200,12:00am,9
20190121,488200,01:00am,11
20190121,488200,02:00am,11
20190121,488200,03:00am,13
20190121,488200,04:00am,11
20190121,488200,05:00am,7
20190121,488200,06:00am,9
20190121,488200,07:00am,20
20190121,488200,08:00am,22
20190121,488200,09:00am,24
20190121,488200,10:00am,15
20190121,488200,11:00am,17
20190121,488200,12:00pm,15
20190121,488200,01:00pm,13
20190121,488200,02:00pm,11
20190121,488200,03:00pm,13
20190121,488200,04:00pm,19
20190121,488200,05:00pm,11
20190121,488200,06:00pm,13
20190121,488200,07:00pm,7
20190121,488200,08:00pm,9
20190121,488200,09:00pm,9
20190121,488200,10:00pm,6
20190121,488200,11:00pm,9
20190122,488200,12:00am,4
20190122,488200,01:00am,6
20190122,488200,02:00am,7
20190122,488200,03:00am,11
20190122,488200,04:00am,7
20190122,488200,05:00am,9
20190122,488200,06:00am,4
20190122,488200,07:00am,11
20190122,488200,08:00am,9
20190122,488200,09:00am,11
20190122,488250,10:00am,11
20190122,488200,11:00am,13
20190122,488200,12:00pm,13
20190122,488200,01:00pm,11
20190122,488200,02:00pm,9
20190122,488200,03:00pm,7
20190122,488200,04:00pm,11
20190122,488200,05:00pm,9
20190122,488200,06:00pm,9
20190122,488200,07:00pm,7
20190122,488200,08:00pm,7
20190122,488200,09:00pm,7
20190122,488200,10:00pm,4
20190122,488200,11:00pm,6
20190123,488200,12:00am,4
20190123,488200,01:00am,4
20190123,488200,02:00am,7
20190123,488200,03:00am,11
20190123,488200,04:00am,6
20190123,488200,05:00am,0
20190123,488200,06:00am,4
20190123,488200,07:00am,6
20190123,488200,08:00am,9
20190123,488200,09:00am,9
20190123,488200,10:00am,11
20190123,488200,11:00am,11
20190123,488200,12:00pm,9
20190123,488200,01:00pm,9
20190123,488200,02:00pm,9
20190123,488200,03:00pm,9
20190123,488200,04:00pm,9
20190123,488200,05:00pm,7
20190123,488200,06:00pm,6
20190123,488200,07:00pm,6
20190123,488200,08:00pm,6
20190123,488200,09:00pm,4
20190123,488200,10:00pm,6
20190123,488200,11:00pm,7
20190124,488200,12:00am,6
20190124,488200,01:00am,4
20190124,488200,02:00am,2
20190124,488200,03:00am,2
20190124,488200,04:00am,0
20190124,488200,05:00am,0
20190124,488200,06:00am,2
20190124,488200,07:00am,7
20190124,488200,08:00am,6
20190124,488200,09:00am,6
20190124,488200,10:00am,4
20190124,488200,11:00am,9
20190124,488200,12:00pm,4
20190124,488200,01:00pm,7
20190124,488200,02:00pm,9
20190124,488200,03:00pm,7
20190124,488200,04:00pm,11
20190124,488200,05:00pm,11
20190124,488200,06:00pm,7
20190124,488200,07:00pm,6
20190124,488200,08:00pm,6
20190124,488200,09:00pm,7
20190124,488200,10:00pm,7
20190124,488200,11:00pm,6
20190125,488200,12:00am,6
20190125,488200,01:00am,6
20190125,488200,02:00am,2
20190125,488200,03:00am,4
20190125,488200,04:00am,4
20190125,488200,05:00am,4
20190125,488200,06:00am,4
20190125,488200,07:00am,4
20190125,488200,08:00am,2
20190125,488200,09:00am,4
20190125,488200,10:00am,6
20190125,488200,11:00am,7
20190125,488200,12:00pm,7
20190125,488200,01:00pm,9
20190125,488200,02:00pm,7
20190125,488200,03:00pm,9
20190125,488200,04:00pm,11
20190125,488200,05:00pm,11
20190125,488200,06:00pm,9
20190125,488200,07:00pm,9
20190125,488200,08:00pm,11
20190125,488200,09:00pm,11
20190125,488200,10:00pm,7
20190125,488200,11:00pm,9
20190126,488200,12:00am,6
20190126,488200,01:00am,2
20190126,488200,02:00am,4
20190126,488200,03:00am,4
20190126,488200,04:00am,0
20190126,488200,05:00am,2
20190126,488200,06:00am,2
20190126,488200,07:00am,6
20190126,488200,08:00am,6
20190126,488200,09:00am,11
20190126,488200,10:00am,9
20190126,488200,11:00am,9
20190126,488200,12:00pm,11
20190126,488200,01:00pm,9
20190126,488200,02:00pm,9
20190126,488200,03:00pm,11
20190126,488200,04:00pm,9
20190126,488200,05:00pm,7
20190126,488200,06:00pm,6
20190126,488200,07:00pm,7
20190126,488200,08:00pm,7
20190126,488200,09:00pm,6
20190126,488200,10:00pm,2
20190126,488200,11:00pm,4
20190127,488200,12:00am,13
20190127,488200,01:00am,11
20190127,488200,02:00am,7
20190127,488200,03:00am,6
20190127,488200,04:00am,4
20190127,488200,05:00am,9
20190127,488200,06:00am,6
20190127,488200,07:00am,7
20190127,488200,08:00am,4
20190127,488200,09:00am,6
20190127,488200,10:00am,9
20190127,488200,11:00am,9
20190127,488200,12:00pm,11
20190127,488200,01:00pm,7
20190127,488200,02:00pm,6
20190127,488200,03:00pm,7
20190127,488200,04:00pm,9
20190127,488200,05:00pm,9
20190127,488200,06:00pm,9
20190127,488200,07:00pm,11
20190127,488200,08:00pm,11
20190127,488200,09:00pm,11
20190127,488200,10:00pm,17
20190127,488200,11:00pm,13
20190128,488200,12:00am,15
20190128,488200,01:00am,15
20190128,488200,02:00am,9
20190128,488200,03:00am,11
20190128,488200,04:00am,7
20190128,488200,05:00am,7
20190128,488200,06:00am,7
20190128,488200,07:00am,9
20190128,488200,08:00am,6
20190128,488200,09:00am,9
20190128,488200,10:00am,11
20190128,488200,11:00am,9
20190128,488200,12:00pm,7
20190128,488200,01:00pm,9
20190128,488200,02:00pm,11
20190128,488200,03:00pm,9
20190128,488200,04:00pm,13
20190128,488200,05:00pm,11
20190128,488200,06:00pm,17
20190128,488200,07:00pm,15
20190128,488200,08:00pm,19
20190128,488200,09:00pm,17
20190128,488200,10:00pm,19
20190128,488200,11:00pm,19
20190129,488200,12:00am,13
20190129,488200,01:00am,11
20190129,488200,02:00am,11
20190129,488200,03:00am,9
20190129,488200,04:00am,9
20190129,488200,05:00am,9
20190129,488200,06:00am,13
20190129,488200,07:00am,6
20190129,488200,08:00am,6
20190129,488200,09:00am,9
20190129,488200,10:00am,7
20190129,488200,11:00am,7
20190129,488200,12:00pm,6
20190129,488200,01:00pm,6
20190129,488200,02:00pm,4
20190129,488200,03:00pm,2
20190129,488200,04:00pm,9
20190129,488200,05:00pm,9
20190129,488200,06:00pm,9
20190129,488200,07:00pm,11
20190129,488200,08:00pm,13
20190129,488200,09:00pm,15
20190129,488200,10:00pm,13
20190129,488200,11:00pm,13
20190130,488200,12:00am,15
20190130,488200,01:00am,11
20190130,488200,02:00am,11
20190130,488200,03:00am,11
20190130,488200,04:00am,9
20190130,488200,05:00am,9
20190130,488200,06:00am,9
20190130,488200,07:00am,11
20190130,488200,08:00am,15
20190130,488200,09:00am,13
20190130,488200,10:00am,13
20190130,488200,11:00am,13
20190130,488200,12:00pm,19
20190130,488200,01:00pm,20
20190130,488200,02:00pm,24
20190130,488200,03:00pm,24
20190130,488200,04:00pm,26
20190130,488200,05:00pm,24
20190130,488200,06:00pm,22
20190130,488200,07:00pm,26
20190130,488200,08:00pm,24
20190130,488200,09:00pm,20
20190130,488200,10:00pm,17
20190130,488200,11:00pm,13
20190131,488200,12:00am,9
20190131,488200,01:00am,7
20190131,488200,02:00am,7
20190131,488200,03:00am,4
20190131,488200,04:00am,4
20190131,488200,05:00am,6
20190131,488200,06:00am,4
20190131,488200,07:00am,9
20190131,488200,08:00am,9
20190131,488200,09:00am,7
20190131,488200,10:00am,7
20190131,488200,11:00am,6
20190131,488200,12:00pm,7
20190131,488200,01:00pm,7
20190131,488200,02:00pm,6
20190131,488200,03:00pm,6
20190131,488200,04:00pm,7
20190131,488200,05:00pm,9
20190131,488200,06:00pm,13
20190131,488200,07:00pm,20
20190131,488200,08:00pm,20
20190131,488200,09:00pm,17
20190131,488200,10:00pm,13
20190131,488200,11:00pm,11
20190201,488200,12:00am,15
20190201,488200,01:00am,17
20190201,488200,02:00am,9
20190201,488200,03:00am,15
20190201,488200,04:00am,11
20190201,488200,05:00am,11
20190201,488200,06:00am,9
20190201,488200,07:00am,11
20190201,488200,08:00am,13
20190201,488200,09:00am,15
20190201,488200,10:00am,13
20190201,488200,11:00am,11
20190201,488200,12:30pm,13
20190201,488200,01:00pm,17
20190201,488200,02:00pm,15
20190201,488200,03:00pm,17
20190201,488200,04:00pm,17
20190201,488200,05:00pm,19
20190201,488200,06:00pm,13
20190201,488200,07:00pm,13
20190201,488200,08:00pm,15
20190201,488200,09:00pm,15
20190201,488200,10:00pm,9
20190201,488200,11:00pm,13
20190202,488200,12:00am,15
20190202,488200,01:00am,13
20190202,488200,02:00am,9
20190202,488200,03:00am,6
20190202,488200,04:00am,6
20190202,488200,05:00am,11
20190202,488200,06:00am,9
20190202,488200,07:00am,9
20190202,488200,08:00am,11
20190202,488200,09:00am,11
20190202,488200,10:00am,15
20190202,488200,11:00am,19
20190202,488200,12:00pm,13
20190202,488200,01:00pm,9
20190202,488200,02:00pm,6
20190202,488200,03:00pm,7
20190202,488200,04:00pm,19
20190202,488200,05:00pm,13
